new_rank	docid	title_snippet
1	G1	fascinate textiles ipo date review price allotment details
2	G2	fascinate textiles heads to nse emerge crores ipo opens august
3	B2	fascinate textiles ltd ipo check issue date price range gmp subscription rate allotment status and bidding dates find fascinate textiles ltd ipo lot size minimum investment fascinate textiles ltd latest updates and
4	B3	fascinate textiles heads to nse emerge crores ipo opens august the ipo will open on august and close on august with the equity shares expected to commence trading on nse emerge on or about august total offer size up to
5	G4	fascinate textiles ipo review nse sme by dilip davda
6	G5	fascinate textiles ipo check ipo date lot size and price
7	G6	fascinate textiles share price today fascinate textiles stock price live nsebse updates
8	G7	fascinate textiles ltd share price fundamentals ratios
9	G8	fascinate textiles ipo announced crore issue what you need to know
10	G9	fascinate textiles ipo gmp price allotment profit estimate
11	G10	fascinate textiles ipo gmp grey market premium today
12	G11	leap india ipo gmp grey market premium today
13	G12	molbio diagnostics ipo gmp grey market premium today
14	G13	shiprocket ipo gmp grey market premium today
15	G14	upcoming ipos crore ipo rush next week full schedule
