docid	title_snippet
G1	fascinate textiles ipo date review price allotment details
G2	fascinate textiles heads to nse emerge crores ipo opens august
G3	fascinate textiles heads to nse emerge crores ipo opens august
G4	fascinate textiles ipo review nse sme by dilip davda
G5	fascinate textiles ipo check ipo date lot size and price
G6	fascinate textiles share price today fascinate textiles stock price live nsebse updates
G7	fascinate textiles ltd share price fundamentals ratios
G8	fascinate textiles ipo announced crore issue what you need to know
G9	fascinate textiles ipo gmp price allotment profit estimate
G10	fascinate textiles ipo gmp grey market premium today
G11	leap india ipo gmp grey market premium today
G12	molbio diagnostics ipo gmp grey market premium today
G13	shiprocket ipo gmp grey market premium today
G14	upcoming ipos crore ipo rush next week full schedule
